縣市,鄉鎮市區,村里,103年第四季宅數
苗栗縣,苗栗市,中苗里,0
苗栗縣,苗栗市,建功里,0
苗栗縣,苗栗市,青苗里,0
苗栗縣,苗栗市,玉清里,0
苗栗縣,苗栗市,玉華里,1
苗栗縣,苗栗市,維新里,1
苗栗縣,苗栗市,維祥里,12
苗栗縣,苗栗市,綠苗里,0
苗栗縣,苗栗市,高苗里,47
苗栗縣,苗栗市,玉苗里,0
苗栗縣,苗栗市,大同里,0
苗栗縣,苗栗市,新苗里,0
苗栗縣,苗栗市,勝利里,8
苗栗縣,苗栗市,恭敬里,0
苗栗縣,苗栗市,上苗里,0
苗栗縣,苗栗市,北苗里,1
苗栗縣,苗栗市,清華里,0
苗栗縣,苗栗市,嘉盛里,0
苗栗縣,苗栗市,福星里,0
苗栗縣,苗栗市,新川里,0
苗栗縣,苗栗市,文山里,11
苗栗縣,苗栗市,福麗里,11
苗栗縣,苗栗市,水源里,8
苗栗縣,苗栗市,新英里,0
苗栗縣,苗栗市,福安里,69
苗栗縣,苗栗市,嘉新里,1
苗栗縣,苗栗市,南勢里,8
苗栗縣,苗栗市,文聖里,0
苗栗縣,苑裡鎮,苑東里,1
苗栗縣,苑裡鎮,苑南里,7
苗栗縣,苑裡鎮,苑北里,1
苗栗縣,苑裡鎮,西平里,3
苗栗縣,苑裡鎮,苑港里,0
苗栗縣,苑裡鎮,西勢里,8
苗栗縣,苑裡鎮,海岸里,0
苗栗縣,苑裡鎮,房裡里,0
苗栗縣,苑裡鎮,客庄里,14
苗栗縣,苑裡鎮,中正里,6
苗栗縣,苑裡鎮,苑坑里,0
苗栗縣,苑裡鎮,水坡里,0
苗栗縣,苑裡鎮,新復里,0
苗栗縣,苑裡鎮,山?里,0
苗栗縣,苑裡鎮,舊社里,0
苗栗縣,苑裡鎮,福田里,0
苗栗縣,苑裡鎮,石鎮里,0
苗栗縣,苑裡鎮,蕉埔里,0
苗栗縣,苑裡鎮,社苓里,0
苗栗縣,苑裡鎮,泰田里,1
苗栗縣,苑裡鎮,上?里,0
苗栗縣,苑裡鎮,玉田里,0
苗栗縣,苑裡鎮,南勢里,0
苗栗縣,苑裡鎮,山柑里,0
苗栗縣,苑裡鎮,田心里,0
苗栗縣,通霄鎮,通東里,0
苗栗縣,通霄鎮,通西里,0
苗栗縣,通霄鎮,平元里,0
苗栗縣,通霄鎮,梅南里,0
苗栗縣,通霄鎮,圳頭里,0
苗栗縣,通霄鎮,通南里,0
苗栗縣,通霄鎮,城北里,0
苗栗縣,通霄鎮,城南里,0
苗栗縣,通霄鎮,南和里,0
苗栗縣,通霄鎮,福興里,0
苗栗縣,通霄鎮,坪頂里,0
苗栗縣,通霄鎮,五南里,0
苗栗縣,通霄鎮,五北里,0
苗栗縣,通霄鎮,內湖里,0
苗栗縣,通霄鎮,楓樹里,0
苗栗縣,通霄鎮,烏眉里,0
苗栗縣,通霄鎮,福龍里,0
苗栗縣,通霄鎮,福源里,0
苗栗縣,通霄鎮,通灣里,0
苗栗縣,通霄鎮,新埔里,0
苗栗縣,通霄鎮,內島里,0
苗栗縣,通霄鎮,白東里,0
苗栗縣,通霄鎮,白西里,0
苗栗縣,通霄鎮,平安里,0
苗栗縣,竹南鎮,竹南里,4
苗栗縣,竹南鎮,照南里,10
苗栗縣,竹南鎮,正南里,0
苗栗縣,竹南鎮,新南里,73
苗栗縣,竹南鎮,大厝里,99
苗栗縣,竹南鎮,營盤里,10
苗栗縣,竹南鎮,聖福里,0
苗栗縣,竹南鎮,竹興里,14
苗栗縣,竹南鎮,龍鳳里,0
苗栗縣,竹南鎮,山佳里,6
苗栗縣,竹南鎮,中港里,0
苗栗縣,竹南鎮,中華里,2
苗栗縣,竹南鎮,中英里,0
苗栗縣,竹南鎮,中美里,0
苗栗縣,竹南鎮,開元里,0
苗栗縣,竹南鎮,海口里,11
苗栗縣,竹南鎮,港墘里,5
苗栗縣,竹南鎮,公?里,0
苗栗縣,竹南鎮,大埔里,1
苗栗縣,竹南鎮,頂埔里,0
苗栗縣,竹南鎮,崎頂里,3
苗栗縣,竹南鎮,公義里,0
苗栗縣,竹南鎮,佳興里,3
苗栗縣,竹南鎮,天文里,1
苗栗縣,竹南鎮,龍山里,9
苗栗縣,頭份市,流東里,0
苗栗縣,頭份市,珊湖里,0
苗栗縣,頭份市,斗煥里,0
苗栗縣,頭份市,新華里,4
苗栗縣,頭份市,興隆里,7
苗栗縣,頭份市,上埔里,0
苗栗縣,頭份市,土牛里,0
苗栗縣,頭份市,頭份里,3
苗栗縣,頭份市,忠孝里,10
苗栗縣,頭份市,仁愛里,0
苗栗縣,頭份市,信義里,0
苗栗縣,頭份市,和平里,0
苗栗縣,頭份市,民族里,2
苗栗縣,頭份市,東庄里,12
苗栗縣,頭份市,後庄里,20
苗栗縣,頭份市,山下里,2
苗栗縣,頭份市,蟠桃里,11
苗栗縣,頭份市,田寮里,6
苗栗縣,頭份市,蘆竹里,0
苗栗縣,頭份市,上興里,0
苗栗縣,頭份市,下興里,0
苗栗縣,頭份市,尖山里,0
苗栗縣,頭份市,尖下里,0
苗栗縣,頭份市,廣興里,0
苗栗縣,頭份市,濫坑里,0
苗栗縣,頭份市,民權里,4
苗栗縣,頭份市,民生里,0
苗栗縣,頭份市,建國里,2
苗栗縣,頭份市,成功里,4
苗栗縣,頭份市,自強里,0
苗栗縣,頭份市,合興里,8
苗栗縣,頭份市,文化里,78
苗栗縣,後龍鎮,南龍里,0
苗栗縣,後龍鎮,中龍里,0
苗栗縣,後龍鎮,北龍里,2
苗栗縣,後龍鎮,大庄里,0
苗栗縣,後龍鎮,溪洲里,0
苗栗縣,後龍鎮,豐富里,1
苗栗縣,後龍鎮,校椅里,0
苗栗縣,後龍鎮,埔頂里,0
苗栗縣,後龍鎮,新民里,0
苗栗縣,後龍鎮,復興里,0
苗栗縣,後龍鎮,東明里,2
苗栗縣,後龍鎮,大山里,0
苗栗縣,後龍鎮,灣寶里,0
苗栗縣,後龍鎮,海寶里,0
苗栗縣,後龍鎮,外埔里,0
苗栗縣,後龍鎮,海埔里,0
苗栗縣,後龍鎮,秀水里,0
苗栗縣,後龍鎮,水尾里,0
苗栗縣,後龍鎮,龍津里,0
苗栗縣,後龍鎮,龍坑里,0
苗栗縣,後龍鎮,福寧里,0
苗栗縣,後龍鎮,中和里,0
苗栗縣,後龍鎮,南港里,0
苗栗縣,卓蘭鎮,中街里,0
苗栗縣,卓蘭鎮,新厝里,0
苗栗縣,卓蘭鎮,上新里,0
苗栗縣,卓蘭鎮,豐田里,0
苗栗縣,卓蘭鎮,西坪里,0
苗栗縣,卓蘭鎮,景山里,0
苗栗縣,卓蘭鎮,老庄里,0
苗栗縣,卓蘭鎮,新榮里,0
苗栗縣,卓蘭鎮,內灣里,0
苗栗縣,卓蘭鎮,苗豐里,0
苗栗縣,卓蘭鎮,坪林里,0
苗栗縣,大湖鄉,大湖村,0
苗栗縣,大湖鄉,明湖村,0
苗栗縣,大湖鄉,靜湖村,0
苗栗縣,大湖鄉,富興村,0
苗栗縣,大湖鄉,大南村,0
苗栗縣,大湖鄉,大寮村,0
苗栗縣,大湖鄉,南湖村,0
苗栗縣,大湖鄉,義和村,0
苗栗縣,大湖鄉,東興村,0
苗栗縣,大湖鄉,武榮村,0
苗栗縣,大湖鄉,栗林村,0
苗栗縣,大湖鄉,新開村,0
苗栗縣,公館鄉,館中村,0
苗栗縣,公館鄉,館東村,0
苗栗縣,公館鄉,館南村,0
苗栗縣,公館鄉,大坑村,0
苗栗縣,公館鄉,中義村,0
苗栗縣,公館鄉,玉泉村,1
苗栗縣,公館鄉,石墻村,0
苗栗縣,公館鄉,福基村,0
苗栗縣,公館鄉,福星村,0
苗栗縣,公館鄉,開礦村,0
苗栗縣,公館鄉,福德村,0
苗栗縣,公館鄉,五谷村,0
苗栗縣,公館鄉,玉谷村,0
苗栗縣,公館鄉,鶴岡村,2
苗栗縣,公館鄉,鶴山村,0
苗栗縣,公館鄉,仁安村,0
苗栗縣,公館鄉,尖山村,0
苗栗縣,公館鄉,南河村,0
苗栗縣,公館鄉,北河村,0
苗栗縣,銅鑼鄉,福興村,0
苗栗縣,銅鑼鄉,銅鑼村,4
苗栗縣,銅鑼鄉,朝陽村,0
苗栗縣,銅鑼鄉,樟樹村,0
苗栗縣,銅鑼鄉,九湖村,0
苗栗縣,銅鑼鄉,竹森村,0
苗栗縣,銅鑼鄉,中平村,0
苗栗縣,銅鑼鄉,興隆村,0
苗栗縣,銅鑼鄉,盛隆村,0
苗栗縣,銅鑼鄉,新隆村,0
苗栗縣,南庄鄉,東村,0
苗栗縣,南庄鄉,西村,0
苗栗縣,南庄鄉,南江村,0
苗栗縣,南庄鄉,田美村,0
苗栗縣,南庄鄉,獅山村,0
苗栗縣,南庄鄉,南富村,0
苗栗縣,南庄鄉,員林村,0
苗栗縣,南庄鄉,蓬萊村,0
苗栗縣,南庄鄉,東河村,0
苗栗縣,頭屋鄉,頭屋村,0
苗栗縣,頭屋鄉,象山村,0
苗栗縣,頭屋鄉,北坑村,0
苗栗縣,頭屋鄉,獅潭村,0
苗栗縣,頭屋鄉,曲洞村,0
苗栗縣,頭屋鄉,飛鳳村,0
苗栗縣,頭屋鄉,明德村,0
苗栗縣,頭屋鄉,鳴鳳村,0
苗栗縣,三義鄉,廣盛村,0
苗栗縣,三義鄉,?湖村,0
苗栗縣,三義鄉,?潭村,0
苗栗縣,三義鄉,勝興村,0
苗栗縣,三義鄉,西湖村,0
苗栗縣,三義鄉,龍騰村,0
苗栗縣,三義鄉,鯉魚潭村,9
苗栗縣,西湖鄉,高埔村,0
苗栗縣,西湖鄉,下埔村,0
苗栗縣,西湖鄉,五湖村,0
苗栗縣,西湖鄉,四湖村,0
苗栗縣,西湖鄉,金獅村,0
苗栗縣,西湖鄉,龍洞村,0
苗栗縣,西湖鄉,三湖村,0
苗栗縣,西湖鄉,湖東村,0
苗栗縣,西湖鄉,二湖村,0
苗栗縣,造橋鄉,造橋村,0
苗栗縣,造橋鄉,平興村,0
苗栗縣,造橋鄉,豐湖村,0
苗栗縣,造橋鄉,大西村,0
苗栗縣,造橋鄉,錦水村,0
苗栗縣,造橋鄉,大龍村,0
苗栗縣,造橋鄉,朝陽村,0
苗栗縣,造橋鄉,談文村,0
苗栗縣,造橋鄉,龍昇村,0
苗栗縣,三灣鄉,三灣村,0
苗栗縣,三灣鄉,內灣村,0
苗栗縣,三灣鄉,銅鏡村,0
苗栗縣,三灣鄉,頂寮村,0
苗栗縣,三灣鄉,北埔村,0
苗栗縣,三灣鄉,大河村,0
苗栗縣,三灣鄉,大坪村,0
苗栗縣,三灣鄉,永和村,0
苗栗縣,獅潭鄉,百壽村,0
苗栗縣,獅潭鄉,永興村,0
苗栗縣,獅潭鄉,新店村,0
苗栗縣,獅潭鄉,和興村,0
苗栗縣,獅潭鄉,豐林村,0
苗栗縣,獅潭鄉,新豐村,0
苗栗縣,獅潭鄉,竹木村,0
苗栗縣,泰安鄉,八卦村,0
苗栗縣,泰安鄉,錦水村,0
苗栗縣,泰安鄉,清安村,0
苗栗縣,泰安鄉,大興村,0
苗栗縣,泰安鄉,中興村,0
苗栗縣,泰安鄉,梅園村,0
苗栗縣,泰安鄉,象鼻村,0
苗栗縣,泰安鄉,士林村,0
