縣市,鄉鎮市區,109H2宅數,109H2比率(%)
新北市,全區,131450,7.99
新北市,板橋區,12349,5.82
新北市,三重區,10120,6.39
新北市,中和區,9292,5.42
新北市,永和區,5659,6.22
新北市,新莊區,9871,6.38
新北市,新店區,10275,7.67
新北市,樹林區,3800,5.87
新北市,鶯歌區,3011,9.23
新北市,三峽區,4276,9.05
新北市,淡水區,19734,17.23
新北市,汐止區,7695,7.66
新北市,瑞芳區,2897,16.70
新北市,土城區,4987,5.75
新北市,蘆洲區,3207,4.51
新北市,五股區,2785,8.10
新北市,泰山區,1416,4.93
新北市,林口區,6071,11.35
新北市,深坑區,776,7.35
新北市,石碇區,295,16.93
新北市,坪林區,202,16.94
新北市,三芝區,3721,27.38
新北市,石門區,646,21.50
新北市,八里區,2223,13.35
新北市,平溪區,397,21.24
新北市,雙溪區,620,19.39
新北市,貢寮區,558,16.44
新北市,金山區,1640,20.69
新北市,萬里區,2760,31.89
新北市,烏來區,167,16.71
