縣市,鄉鎮市區,113H1宅數,113H1比率(%)
臺南市,全區,74523,10.03
臺南市,新營區,3248,10.04
臺南市,鹽水區,1295,13.17
臺南市,白河區,1483,14.29
臺南市,柳營區,969,11.97
臺南市,後壁區,1302,14.41
臺南市,東山區,1075,14.96
臺南市,麻豆區,2305,13.30
臺南市,下營區,941,11.70
臺南市,六甲區,981,11.68
臺南市,官田區,1146,12.62
臺南市,大內區,499,15.50
臺南市,佳里區,2288,10.21
臺南市,學甲區,1206,12.79
臺南市,西港區,814,9.22
臺南市,七股區,749,11.18
臺南市,將軍區,879,14.22
臺南市,北門區,485,17.32
臺南市,新化區,1482,9.25
臺南市,善化區,2855,12.00
臺南市,新市區,1720,10.28
臺南市,安定區,1237,11.28
臺南市,山上區,235,9.28
臺南市,玉井區,803,15.17
臺南市,楠西區,582,18.04
臺南市,南化區,403,17.08
臺南市,左鎮區,367,22.88
臺南市,仁德區,2276,7.58
臺南市,歸仁區,2930,11.29
臺南市,關廟區,1053,8.97
臺南市,龍崎區,148,12.36
臺南市,永康區,7554,7.83
臺南市,東區,7033,9.18
臺南市,南區,3867,8.30
臺南市,北區,4989,8.99
臺南市,安南區,5291,7.57
臺南市,安平區,3465,10.89
臺南市,中西區,4568,12.80
