縣市,鄉鎮市區,099宅數,099比率(%)
高雄市,全區,103291,10.62
高雄市,鹽埕區,1741,14.93
高雄市,鼓山區,5714,10.77
高雄市,左營區,7135,9.90
高雄市,楠梓區,7059,11.45
高雄市,三民區,12514,9.68
高雄市,新興區,4044,15.70
高雄市,前金區,2246,15.65
高雄市,苓雅區,8199,11.74
高雄市,前鎮區,6793,9.73
高雄市,旗津區,584,8.47
高雄市,小港區,4270,9.73
高雄市,鳳山區,9748,8.08
高雄市,林園區,2370,10.96
高雄市,大寮區,4263,11.20
高雄市,大樹區,1667,12.48
高雄市,大社區,1138,9.37
高雄市,仁武區,2985,11.17
高雄市,鳥松區,2340,14.15
高雄市,岡山區,3033,9.27
高雄市,橋頭區,1743,13.22
高雄市,燕巢區,874,9.98
高雄市,田寮區,356,19.26
高雄市,阿蓮區,627,7.30
高雄市,路竹區,1321,7.99
高雄市,湖內區,1303,11.83
高雄市,茄萣區,833,9.80
高雄市,永安區,289,9.20
高雄市,彌陀區,295,5.92
高雄市,梓官區,1114,9.73
高雄市,旗山區,2426,16.57
高雄市,美濃區,1431,10.76
高雄市,六龜區,869,17.09
高雄市,甲仙區,549,23.65
高雄市,杉林區,423,14.27
高雄市,內門區,542,12.03
高雄市,茂林區,47,10.99
高雄市,桃源區,226,21.35
高雄市,那瑪夏區,180,31.88
