縣市,鄉鎮市區,村里,107年第四季宅數
嘉義市,東區,荖藤里,0
嘉義市,東區,後湖里,0
嘉義市,東區,仁義里,0
嘉義市,東區,中庄里,0
嘉義市,東區,頂庄里,0
嘉義市,東區,圳頭里,0
嘉義市,東區,新店里,0
嘉義市,東區,後庄里,0
嘉義市,東區,王田里,0
嘉義市,東區,東川里,0
嘉義市,東區,太平里,0
嘉義市,東區,盧厝里,0
嘉義市,東區,鹿寮里,0
嘉義市,東區,長竹里,0
嘉義市,東區,短竹里,0
嘉義市,東區,新開里,0
嘉義市,東區,宣信里,0
嘉義市,東區,興南里,0
嘉義市,東區,豐年里,0
嘉義市,東區,芳草里,0
嘉義市,東區,芳安里,0
嘉義市,東區,頂寮里,0
嘉義市,東區,安寮里,0
嘉義市,東區,興安里,0
嘉義市,東區,興村里,0
嘉義市,東區,興仁里,0
嘉義市,東區,過溝里,0
嘉義市,東區,民族里,0
嘉義市,東區,朝陽里,0
嘉義市,東區,華南里,0
嘉義市,東區,東興里,0
嘉義市,東區,中山里,0
嘉義市,東區,中央里,0
嘉義市,東區,林森里,0
嘉義市,東區,北門里,0
嘉義市,東區,蘭潭里,0
嘉義市,東區,文雅里,0
嘉義市,東區,安業里,0
嘉義市,東區,義教里,0
嘉義市,西區,香湖里,0
嘉義市,西區,湖邊里,0
嘉義市,西區,北榮里,0
嘉義市,西區,重興里,0
嘉義市,西區,竹圍里,0
嘉義市,西區,新厝里,0
嘉義市,西區,保安里,0
嘉義市,西區,北湖里,0
嘉義市,西區,下埤里,0
嘉義市,西區,竹村里,0
嘉義市,西區,大溪里,0
嘉義市,西區,福全里,0
嘉義市,西區,西平里,0
嘉義市,西區,磚?里,0
嘉義市,西區,港坪里,0
嘉義市,西區,頭港里,0
嘉義市,西區,劉厝里,0
嘉義市,西區,新西里,0
嘉義市,西區,書院里,0
嘉義市,西區,培元里,0
嘉義市,西區,垂楊里,0
嘉義市,西區,車店里,0
嘉義市,西區,福民里,0
嘉義市,西區,湖內里,0
嘉義市,西區,美源里,0
嘉義市,西區,育英里,0
嘉義市,西區,致遠里,0
嘉義市,西區,光路里,0
嘉義市,西區,翠岱里,0
嘉義市,西區,自強里,0
嘉義市,西區,永和里,0
嘉義市,西區,新富里,0
嘉義市,西區,文化里,0
嘉義市,西區,西榮里,0
嘉義市,西區,國華里,0
嘉義市,西區,番社里,0
嘉義市,西區,導明里,0
嘉義市,西區,慶安里,0
嘉義市,西區,後驛里,0
嘉義市,西區,福安里,0
嘉義市,西區,獅子里,0
嘉義市,西區,紅瓦里,0
嘉義市,西區,保福里,0
嘉義市,西區,保生里,0
嘉義市,西區,北新里,0
