縣市,鄉鎮市區,村里,103年第二季宅數
新竹市,東區,南門里,0
新竹市,東區,福德里,0
新竹市,東區,南市里,0
新竹市,東區,關帝里,0
新竹市,東區,東門里,0
新竹市,東區,榮光里,0
新竹市,東區,成功里,0
新竹市,東區,下竹里,0
新竹市,東區,竹蓮里,0
新竹市,東區,寺前里,0
新竹市,東區,育賢里,0
新竹市,東區,中正里,0
新竹市,東區,公園里,0
新竹市,東區,頂竹里,0
新竹市,東區,南大里,0
新竹市,東區,振興里,0
新竹市,東區,親仁里,0
新竹市,東區,文華里,0
新竹市,東區,復中里,0
新竹市,東區,三民里,0
新竹市,東區,東園里,0
新竹市,東區,東勢里,0
新竹市,東區,光復里,0
新竹市,東區,豐功里,0
新竹市,東區,武功里,0
新竹市,東區,綠水里,0
新竹市,東區,東山里,0
新竹市,東區,光鎮里,0
新竹市,東區,新興里,0
新竹市,東區,柴橋里,0
新竹市,東區,高峰里,0
新竹市,東區,仙宮里,0
新竹市,東區,光明里,0
新竹市,東區,立功里,0
新竹市,東區,軍功里,0
新竹市,東區,建功里,0
新竹市,東區,前溪里,0
新竹市,東區,水源里,0
新竹市,東區,千甲里,0
新竹市,東區,埔頂里,0
新竹市,東區,龍山里,0
新竹市,東區,新莊里,0
新竹市,東區,仙水里,0
新竹市,東區,金山里,0
新竹市,東區,關東里,0
新竹市,東區,科園里,0
新竹市,東區,建華里,0
新竹市,東區,新光里,0
新竹市,東區,復興里,0
新竹市,東區,錦華里,0
新竹市,東區,湖濱里,0
新竹市,東區,明湖里,0
新竹市,東區,關新里,0
新竹市,北區,西門里,0
新竹市,北區,仁德里,0
新竹市,北區,潛園里,0
新竹市,北區,中央里,0
新竹市,北區,崇禮里,0
新竹市,北區,石坊里,0
新竹市,北區,興南里,0
新竹市,北區,北門里,0
新竹市,北區,中興里,0
新竹市,北區,大同里,0
新竹市,北區,中山里,0
新竹市,北區,長和里,0
新竹市,北區,新民里,0
新竹市,北區,民富里,0
新竹市,北區,水田里,0
新竹市,北區,文雅里,0
新竹市,北區,光田里,0
新竹市,北區,士林里,0
新竹市,北區,福林里,0
新竹市,北區,古賢里,0
新竹市,北區,湳雅里,0
新竹市,北區,舊社里,0
新竹市,北區,武陵里,0
新竹市,北區,南寮里,0
新竹市,北區,舊港里,0
新竹市,北區,康樂里,0
新竹市,北區,港北里,0
新竹市,北區,中寮里,0
新竹市,北區,海濱里,0
新竹市,北區,客雅里,0
新竹市,北區,育英里,0
新竹市,北區,曲溪里,0
新竹市,北區,西雅里,0
新竹市,北區,南勢里,0
新竹市,北區,大鵬里,0
新竹市,北區,境福里,0
新竹市,北區,磐石里,0
新竹市,北區,新雅里,0
新竹市,北區,光華里,0
新竹市,北區,金華里,0
新竹市,北區,金竹里,0
新竹市,北區,湳中里,0
新竹市,北區,金雅里,0
新竹市,北區,台溪里,0
新竹市,北區,中雅里,0
新竹市,香山區,港南里,0
新竹市,香山區,虎山里,0
新竹市,香山區,虎林里,0
新竹市,香山區,浸水里,0
新竹市,香山區,樹下里,0
新竹市,香山區,埔前里,0
新竹市,香山區,中埔里,0
新竹市,香山區,牛埔里,0
新竹市,香山區,頂埔里,0
新竹市,香山區,東香里,0
新竹市,香山區,香村里,0
新竹市,香山區,香山里,0
新竹市,香山區,大庄里,0
新竹市,香山區,美山里,0
新竹市,香山區,朝山里,0
新竹市,香山區,海山里,0
新竹市,香山區,茄苳里,0
新竹市,香山區,大湖里,0
新竹市,香山區,南隘里,0
新竹市,香山區,中隘里,0
新竹市,香山區,內湖里,0
新竹市,香山區,鹽水里,0
新竹市,香山區,南港里,0
新竹市,香山區,頂福里,0
